Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4.KillerID_Company_IP Filtering,Chrome 149.0.7827.114,,,15-06-2026 09:39:35,15-06-2026 09:56:26,16m - 50.864s,PASSED
,,,,,,,
Test Cases/KillerID_Company_IP Filtering/C9985_IP 필터링 편집모드 진입,Chrome 149.0.7827.114,"C9985 - IP 필터링 탭 편집 모드 진입
TestRail: C9985 - Enter the Edit mode on the IP Filtering tab

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > IP Filtering 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. IP Filtering 탭의 모든 필드가 편집 가능한 상태인지 확인하세요

결과값: IP Filtering 탭의 모든 필드를 편집할 수 있습니다.",,15-06-2026 09:39:35,15-06-2026 09:40:04,28.564s,PASSED
"callTestCase(findTestCase(""Common/COMMON_08_IP필터링_편집모드_진입""), [:])",Chrome 149.0.7827.114,,,15-06-2026 09:39:36,15-06-2026 09:39:57,21.687s,PASSED
delay(1),Chrome 149.0.7827.114,,,15-06-2026 09:39:57,15-06-2026 09:39:58,1.003s,PASSED
takeScreenshot(),Chrome 149.0.7827.114,,,15-06-2026 09:39:58,15-06-2026 09:39:59,0.333s,PASSED
"comment(""[C9985] Step 1~3: COMMON_08 executed - Edit mode entered"")",Chrome 149.0.7827.114,,,15-06-2026 09:39:59,15-06-2026 09:39:59,0.002s,PASSED
"verifyElementVisible(findTestObject(""KillerID_company_ip_filtering/Page_demo.netkillersoft.com/button_ON""), STOP_ON_FAILURE)",Chrome 149.0.7827.114,,,15-06-2026 09:39:59,15-06-2026 09:39:59,0.252s,PASSED
"verifyElementVisible(findTestObject(""KillerID_company_ip_filtering/Page_demo.netkillersoft.com/button_OFF""), STOP_ON_FAILURE)",Chrome 149.0.7827.114,,,15-06-2026 09:39:59,15-06-2026 09:39:59,0.243s,PASSED
"comment(""[C9985] Verify 1: ON/OFF toggle buttons visible"")",Chrome 149.0.7827.114,,,15-06-2026 09:39:59,15-06-2026 09:39:59,0.003s,PASSED
"verifyElementVisible(findTestObject(""KillerID_company_ip_filtering/Page_demo.netkillersoft.com/button_Manage IP Zones""), STOP_ON_FAILURE)",Chrome 149.0.7827.114,,,15-06-2026 09:39:59,15-06-2026 09:39:59,0.242s,PASSED
"comment(""[C9985] Verify 2: Manage IP Zones button visible"")",Chrome 149.0.7827.114,,,15-06-2026 09:39:59,15-06-2026 09:39:59,0.002s,PASSED
"verifyElementVisible(findTestObject(""KillerID_company_ip_filtering/Page_demo.netkillersoft.com/button_Save_Page""), STOP_ON_FAILURE)",Chrome 149.0.7827.114,,,15-06-2026 09:39:59,15-06-2026 09:40:00,0.253s,PASSED
"verifyElementVisible(findTestObject(""KillerID_company_ip_filtering/Page_demo.netkillersoft.com/button_Cancel_Page""), STOP_ON_FAILURE)",Chrome 149.0.7827.114,,,15-06-2026 09:40:00,15-06-2026 09:40:00,0.246s,PASSED
takeScreenshot(),Chrome 149.0.7827.114,,,15-06-2026 09:40:00,15-06-2026 09:40:00,0.313s,PASSED
"comment(""[C9985] Verify 3: Save_Page / Cancel_Page buttons visible - all edit mode fields confirmed"")",Chrome 149.0.7827.114,,,15-06-2026 09:40:00,15-06-2026 09:40:00,0.003s,PASSED
