Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.KillerID_Company_User,Chrome 149.0.7827.114,,,15-06-2026 09:56:30,15-06-2026 10:02:54,6m - 23.964s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10037_사용자 테이블 검증,Chrome 149.0.7827.114,"C10037 - 사용자 테이블 검증
TestRail: C10037 - Verify the User table

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 사용자 테이블이 표시되는지 확인하세요

결과값: 도메인 사용자들이 포함된 테이블이 표시됩니다.",,15-06-2026 09:56:30,15-06-2026 09:56:51,20.241s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 09:56:31,15-06-2026 09:56:49,18.275s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 09:56:49,15-06-2026 09:56:49,0.141s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:56:49,15-06-2026 09:56:49,0.010s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:56:49,15-06-2026 09:56:51,1.506s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10038_2SV ribbon 검증,Chrome 149.0.7827.114,"C10038 - 2SV ribbon 검증
TestRail: C10038 - Verify the 2SV ribbon

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 페이지 상단에 2SV 미설정 사용자 수 / 비율을 표시하는 ribbon 이 노출되는지 확인하세요
4. ribbon 의 'Click here to view the list' 링크를 클릭하세요

결과값: 2SV 가 설정되지 않은 사용자 목록이 필터되어 표시됩니다.",,15-06-2026 09:56:51,15-06-2026 09:57:10,19.612s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 09:56:51,15-06-2026 09:57:10,18.642s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 09:57:10,15-06-2026 09:57:10,0.113s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:57:10,15-06-2026 09:57:10,0.007s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:57:10,15-06-2026 09:57:10,0.656s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10039_2SV 미설정 사용자 목록 검증,Chrome 149.0.7827.114,"C10039 - 2SV 미설정 사용자 목록 검증
TestRail: C10039 - Verify the list of users without configured 2SV

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 2SV ribbon 의 'Click here to view the list' 링크를 클릭하세요
4. 필터된 사용자 목록을 확인하세요

결과값: 2SV 가 설정되지 않은 사용자만 테이블에 표시됩니다.",,15-06-2026 09:57:10,15-06-2026 09:57:32,21.340s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 09:57:10,15-06-2026 09:57:31,20.553s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 09:57:31,15-06-2026 09:57:31,0.105s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:57:31,15-06-2026 09:57:31,0.002s,PASSED
