Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3.KillerID_Company_theme,Chrome 149.0.7827.114,KillerID_Company_theme 전체 case,,16-06-2026 02:33:54,16-06-2026 02:50:53,16m - 58.393s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Theme/C9964_테마 편집모드 진입,Chrome 149.0.7827.114,"C9964_테마 편집모드 진입

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. 왼쪽 메뉴에서 'Company'를 클릭하세요
3. 'Theme' 탭을 클릭하세요
4. 'Edit' 버튼을 클릭하세요
5. Login Page Layout, Login Page Text, Login Text Color, Theme Background Color 등 모든 필드가 편집 가능한 상태인지 확인하세요

결과값
Theme 탭의 모든 필드를 편집할 수 있습니다.",,16-06-2026 02:33:54,16-06-2026 02:34:41,47.123s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 02:33:55,16-06-2026 02:34:39,44.252s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 02:34:39,16-06-2026 02:34:39,0.501s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:34:39,16-06-2026 02:34:39,0.011s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:34:39,16-06-2026 02:34:41,2.126s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Theme/C9965_New Login Page 설정,Chrome 149.0.7827.114,"C9965_New Login Page 설정

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Theme 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Login Page Layout에서 'New Login Page' 라디오 버튼을 선택하세요
5. 'Save' 버튼을 클릭하세요
6. 페이지를 새로고침하고 설정이 유지되는지 확인하세요

결과값
Login Page Layout이 'New Login Page'로 설정됩니다.",,16-06-2026 02:34:41,16-06-2026 02:35:21,39.699s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 02:34:42,16-06-2026 02:35:20,38.516s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 02:35:20,16-06-2026 02:35:21,0.474s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:35:21,16-06-2026 02:35:21,0.004s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:35:21,16-06-2026 02:35:21,0.510s,PASSED
,,,,,,,
