Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2.KillerID_Company_Domain Setting,Chrome 149.0.7827.114,,,16-06-2026 02:27:43,16-06-2026 02:33:50,6m - 7.244s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Domain Setting/C9953_도메인 설정 편집모드 진입,Chrome 149.0.7827.114,"C9953_도메인 설정 편집모드 진입

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. 왼쪽 메뉴에서 'Company'를 클릭하세요
3. 'Domain Setting' 탭을 클릭하세요
4. 'Edit' 버튼을 클릭하세요
5. Domain Name Format, Password Change Rule Setting, Days Limit, Session Duration 등 모든 필드가 편집 가능한 상태인지 확인하세요

결과값
Domain Setting 탭의 모든 필드를 편집할 수 있습니다.",,16-06-2026 02:27:43,16-06-2026 02:28:19,35.843s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 02:27:43,16-06-2026 02:28:17,33.669s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 02:28:17,16-06-2026 02:28:17,0.476s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:28:17,16-06-2026 02:28:17,0.013s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:28:17,16-06-2026 02:28:19,1.445s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Domain Setting/C9954_도메인 이름 형식 변경,Chrome 149.0.7827.114,"C9954_도메인 이름 형식 변경

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Domain Setting 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Domain Name Format에서 원하는 형식을 선택하세요 (예: 'First Last (example: John Smith)' 또는 'Last First (example: Smith John)')
5. 'Save' 버튼을 클릭하세요
6. 페이지를 새로고침하고 변경된 형식이 유지되는지 확인하세요

결과값
도메인 사용자의 이름이 설정된 형식에 따라 표시됩니다 (예: John Smith / Smith John)",,16-06-2026 02:28:19,16-06-2026 02:28:56,37.186s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 02:28:19,16-06-2026 02:28:55,35.662s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 02:28:55,16-06-2026 02:28:55,0.423s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:28:55,16-06-2026 02:28:55,0.005s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:28:55,16-06-2026 02:28:56,0.941s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Domain Setting/C9955_비밀번호 변경 규칙 활성화,Chrome 149.0.7827.114,"C9955_비밀번호 변경 규칙 활성화 및 기간을 1일로 설정

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Domain Setting 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Password Change Rule Setting에서 'On'을 선택하세요
5. Days Limit 필드에 '1'을 입력하세요
6. 'Save' 버튼을 클릭하세요
7. 페이지를 새로고침하고 설정이 유지되는지 확인하세요

결과값
Password Change Rule Setting이 활성화되고 기간이 1일로 설정됩니다. 사용자는 매 1일마다 비밀번호 변경을 요구받습니다.",,16-06-2026 02:28:56,16-06-2026 02:29:27,30.667s,PASSED
"INVALID_DAYS_VALUE = ""1""",Chrome 149.0.7827.114,,,16-06-2026 02:28:56,16-06-2026 02:28:56,0.001s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 02:28:56,16-06-2026 02:29:25,29.427s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 02:29:25,16-06-2026 02:29:26,0.396s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:29:26,16-06-2026 02:29:26,0.002s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:29:26,16-06-2026 02:29:27,0.758s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Domain Setting/C9956_비밀번호 변경 규칙 검증,Chrome 149.0.7827.114,"C9956_비밀번호 변경 규칙 검증 (유효한 기간 저장)

사전 조건
역할: 도메인 사용자
비밀번호 변경 규칙 설정이 켜져 있습니다.

1. 편집 버튼을 클릭하여 편집 모드로 들어가세요.
2. 비밀번호 변경 규칙 설정을 활성화하세요
3. 비밀번호 변경 주기를 설정하세요.
4. 30일에서 365일 사이의 유효한 비밀번호 업데이트 기간을 입력하세요.
5. 저장 버튼을 클릭하세요

결과값
설정된 비밀번호 변경 주기가 올바르게 표시되며 저장 후에도 유지됩니다.",,16-06-2026 02:29:27,16-06-2026 02:30:02,35.180s,PASSED
random = new java.util.Random(),Chrome 149.0.7827.114,,,16-06-2026 02:29:27,16-06-2026 02:29:27,0.008s,PASSED
randomDays = random.nextInt(365 - 32 + 1) + 32,Chrome 149.0.7827.114,,,16-06-2026 02:29:27,16-06-2026 02:29:27,0.003s,PASSED
VALID_DAYS_VALUE = String.valueOf(randomDays),Chrome 149.0.7827.114,,,16-06-2026 02:29:27,16-06-2026 02:29:27,0.001s,PASSED
"EXPECTED_DISPLAY_TEXT = randomDays + "" Days""",Chrome 149.0.7827.114,,,16-06-2026 02:29:27,16-06-2026 02:29:27,0.003s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 02:29:27,16-06-2026 02:30:00,33.143s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 02:30:00,16-06-2026 02:30:00,0.400s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:30:00,16-06-2026 02:30:00,0.003s,PASSED
