Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
8.KillerID_Departments,Chrome 149.0.7827.114,"Round 8 - Departments 자동화 15건 (8a 조회 3 + 8b IP&StartURL 5 + 8c 2SV&세션 7). 대상 부서: Finance. manual 9건(부서 IP 로그인/2SV 로그인/Start URL 리다이렉트/GWS OU Sync 4/부서 삭제) 제외. 부서 액션은 호버→""...""→항목(동적 id org-level-popup<n> 회피, 텍스트 스코프 JS). 모달은 id 스코프 + getComputedStyle 표시판정. 부서 IP필터링은 회사 IP필터 OFF 시 안내 alert(게이팅) 검증. 세션 무효값은 native alert 검증. 모든 케이스 teardown 복원 내장.",,16-06-2026 08:55:00,16-06-2026 09:00:48,5m - 48.038s,PASSED
,,,,,,,
Test Cases/KillerID_Departments/C10013_부서 구조 검증,Chrome 149.0.7827.114,"[C10013] Verify the Departments structure
Role: Admin | 대상 부서: Finance
Section: KillerID/Departments (Round 8 Sprint 8a)

📋 사전 조건:
- admin 로그인 → Departments 영역 진입

🧪 단계 (inferred):
1. Departments(부서) 목록/트리 화면 진입
2. 부서 계층 구조(GWS OU 동기화) 렌더 검증

✅ 결과값:
- 부서 트리/목록이 정상 표시 (Finance 포함)

🔧 자동화 노트:
- 캡처: Departments 탭/메뉴 진입점, 부서 트리/목록 컨테이너
- 검증은 JS robust(부서명 텍스트 탐지)",,16-06-2026 08:55:00,16-06-2026 08:55:17,16.883s,PASSED
"DEPT = ""Finance""",Chrome 149.0.7827.114,,,16-06-2026 08:55:00,16-06-2026 08:55:00,0.002s,PASSED
snap = { java.lang.String label -> ... },Chrome 149.0.7827.114,,,16-06-2026 08:55:00,16-06-2026 08:55:00,0.005s,PASSED
waitSideMenu = { -> ... },Chrome 149.0.7827.114,,,16-06-2026 08:55:00,16-06-2026 08:55:00,0.003s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 08:55:00,16-06-2026 08:55:15,14.894s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 08:55:15,16-06-2026 08:55:15,0.139s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 08:55:15,16-06-2026 08:55:15,0.011s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 08:55:15,16-06-2026 08:55:17,1.432s,PASSED
