Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1. KillerID_Company_Company Details,Chrome 149.0.7827.114,,,15-06-2026 09:13:48,15-06-2026 09:18:35,4m - 47.387s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Company Details/C9938(T88020)_회사 정보 탭에서 편집 모드로 들어갑니다,Chrome 149.0.7827.114,"C9938_회사 정보 탭에서 편집 모드로 들어갑니다
TestRail: C9938 (T88020) - Enter the Edit mode on the Company Details tab

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. 왼쪽 메뉴에서 'Company'를 클릭하세요
3. 'Company Details' 탭에서 'Edit' 버튼을 클릭하세요
4. Organization Name, Country, Header Logo, Theme Logo, Contact Information, Timezone 등 모든 필드가 편집 가능한 상태인지 확인하세요

결과값
편집 모드가 열리고, 모든 필드를 편집할 수 있습니다.",,15-06-2026 09:13:48,15-06-2026 09:14:17,29.003s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 09:13:48,15-06-2026 09:14:11,22.628s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 09:14:11,15-06-2026 09:14:12,0.475s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:14:12,15-06-2026 09:14:12,0.007s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:14:12,15-06-2026 09:14:17,5.600s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Company Details/C9939(T88021)_조직명과 국가를 변경하세요,Chrome 149.0.7827.114,"C9939_조직명과 국가를 변경하세요
TestRail: C9939 (T88021) - Change the Organization Name and the Country

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Company Details 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Organization Name 필드에 새로운 조직명을 입력하세요
5. Country 드롭다운에서 국가를 선택하세요
6. 'Save' 버튼을 클릭하세요
7. 페이지를 새로고침하고 변경 사항이 저장되었는지 확인하세요

결과값
기관명과 국가가 성공적으로 저장됩니다.",,15-06-2026 09:14:17,15-06-2026 09:14:48,31.255s,PASSED
runTimestamp = SimpleDateFormat(MMdd:HH:mm).format(new java.util.Date()),Chrome 149.0.7827.114,,,15-06-2026 09:14:17,15-06-2026 09:14:17,0.006s,PASSED
"orgName = ""automation test "" + runTimestamp",Chrome 149.0.7827.114,,,15-06-2026 09:14:17,15-06-2026 09:14:17,0.001s,PASSED
